Board_State,Best_Move
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-']]",drop 3
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'X', '-', '-', '-']]",drop 3
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', '-', 'X', '-', '-', '-']]",drop 3
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'X', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', '-', 'X', '-', '-', '-']]",drop 2
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'X', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', 'O', 'X', '-', '-', '-']]",drop 3
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'X', '-', '-', '-'], ['-', '-', '-', 'X', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', 'O', 'X', '-', '-', '-']]",drop 3
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', '-', 'X', '-', '-', '-'], ['-', '-', '-', 'X', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', 'O', 'X', '-', '-', '-']]",drop 2
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', '-', 'X', '-', '-', '-'], ['-', '-', '-', 'X', '-', '-', '-'], ['-', '-', 'X', 'O', '-', '-', '-'], ['-', '-', 'O', 'X', '-', '-', '-']]",drop 2
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', '-', 'X', '-', '-', '-'], ['-', '-', 'O', 'X', '-', '-', '-'], ['-', '-', 'X', 'O', '-', '-', '-'], ['-', '-', 'O', 'X', '-', '-', '-']]",drop 5
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', '-', 'X', '-', '-', '-'], ['-', '-', 'O', 'X', '-', '-', '-'], ['-', '-', 'X', 'O', '-', '-', '-'], ['-', '-', 'O', 'X', '-', 'X', '-']]",drop 2
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', 'O', 'X', '-', '-', '-'], ['-', '-', 'O', 'X', '-', '-', '-'], ['-', '-', 'X', 'O', '-', '-', '-'], ['-', '-', 'O', 'X', '-', 'X', '-']]",drop 4
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', 'O', 'X', '-', '-', '-'], ['-', '-', 'O', 'X', '-', '-', '-'], ['-', '-', 'X', 'O', '-', '-', '-'], ['-', '-', 'O', 'X', 'X', 'X', '-']]",drop 6
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', 'O', 'X', '-', '-', '-'], ['-', '-', 'O', 'X', '-', '-', '-'], ['-', '-', 'X', 'O', '-', '-', '-'], ['-', '-', 'O', 'X', 'X', 'X', 'O']]",drop 4
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', '-', 'O', '-', '-', '-'], ['-', '-', 'O', 'X', '-', '-', '-'], ['-', '-', 'O', 'X', '-', '-', '-'], ['-', '-', 'X', 'O', 'X', '-', '-'], ['-', '-', 'O', 'X', 'X', 'X', 'O']]",drop 2
"[['-', '-', '-', '-', '-', '-', '-'], ['-', '-', 'O', 'O', '-', '-', '-'], ['-', '-', 'O', 'X', '-', '-', '-'], ['-', '-', 'O', 'X', '-', '-', '-'], ['-', '-', 'X', 'O', 'X', '-', '-'], ['-', '-', 'O', 'X', 'X', 'X', 'O']]",drop 2
"[['-', '-', 'X', '-', '-', '-', '-'], ['-', '-', 'O', 'O', '-', '-', '-'], ['-', '-', 'O', 'X', '-', '-', '-'], ['-', '-', 'O', 'X', '-', '-', '-'], ['-', '-', 'X', 'O', 'X', '-', '-'], ['-', '-', 'O', 'X', 'X', 'X', 'O']]",drop 5
"[['-', '-', 'X', '-', '-', '-', '-'], ['-', '-', 'O', 'O', '-', '-', '-'], ['-', '-', 'O', 'X', '-', '-', '-'], ['-', '-', 'O', 'X', '-', '-', '-'], ['-', '-', 'X', 'O', 'X', 'O', '-'], ['-', '-', 'O', 'X', 'X', 'X', 'O']]",drop 4
"[['-', '-', 'X', '-', '-', '-', '-'], ['-', '-', 'O', 'O', '-', '-', '-'], ['-', '-', 'O', 'X', '-', '-', '-'], ['-', '-', 'O', 'X', 'X', '-', '-'], ['-', '-', 'X', 'O', 'X', 'O', '-'], ['-', '-', 'O', 'X', 'X', 'X', 'O']]",drop 4
"[['-', '-', 'X', '-', '-', '-', '-'], ['-', '-', 'O', 'O', '-', '-', '-'], ['-', '-', 'O', 'X', 'O', '-', '-'], ['-', '-', 'O', 'X', 'X', '-', '-'], ['-', '-', 'X', 'O', 'X', 'O', '-'], ['-', '-', 'O', 'X', 'X', 'X', 'O']]",drop 6
"[['-', '-', 'X', '-', '-', '-', '-'], ['-', '-', 'O', 'O', '-', '-', '-'], ['-', '-', 'O', 'X', 'O', '-', '-'], ['-', '-', 'O', 'X', 'X', '-', '-'], ['-', '-', 'X', 'O', 'X', 'O', 'X'], ['-', '-', 'O', 'X', 'X', 'X', 'O']]",drop 5
"[['-', '-', 'X', '-', '-', '-', '-'], ['-', '-', 'O', 'O', '-', '-', '-'], ['-', '-', 'O', 'X', 'O', '-', '-'], ['-', '-', 'O', 'X', 'X', 'O', '-'], ['-', '-', 'X', 'O', 'X', 'O', 'X'], ['-', '-', 'O', 'X', 'X', 'X', 'O']]",drop 5
"[['-', '-', 'X', '-', '-', '-', '-'], ['-', '-', 'O', 'O', '-', '-', '-'], ['-', '-', 'O', 'X', 'O', 'X', '-'], ['-', '-', 'O', 'X', 'X', 'O', '-'], ['-', '-', 'X', 'O', 'X', 'O', 'X'], ['-', '-', 'O', 'X', 'X', 'X', 'O']]",drop 4
"[['-', '-', 'X', '-', '-', '-', '-'], ['-', '-', 'O', 'O', 'O', '-', '-'], ['-', '-', 'O', 'X', 'O', 'X', '-'], ['-', '-', 'O', 'X', 'X', 'O', '-'], ['-', '-', 'X', 'O', 'X', 'O', 'X'], ['-', '-', 'O', 'X', 'X', 'X', 'O']]",pop 5
